1.00 8.00 66 2018-10-23-20:33:21
f5:93:4c:a6:d9:16 -71 b | -71 -71
40:e3:d6:5d:c5:e0 -82 w | -82 -81 -81
40:e3:d6:5e:d3:41 -72 w | -72 -68 -68 -69
40:e3:d6:5d:80:04 -85 w | -85 -85

5.80 8.00 64 2018-10-23-20:34:11
f5:93:4c:a6:d9:16 -84 b | -84 -77 -77
cf:20:a9:08:f3:ed -81 b | -81 -77 -84
ac:23:3f:20:9c:ac -72 b | -72
c1:00:91:00:01:2d -86 b | -86 -71
c5:58:c1:21:15:fe -89 b | -89 -88 -94 -94
ac:23:3f:20:8d:34 -71 b | -71 -73
ac:23:3f:20:8d:3b -71 b | -71 -69
ac:23:3f:20:94:cc -73 b | -73
ac:23:3f:20:8d:32 -73 b | -73 -74
ac:23:3f:20:8d:39 -75 b | -75 -74 -74
ac:23:3f:20:94:cd -86 b | -86 -80 -84
ac:23:3f:20:9c:ae -70 b | -70 -74
ac:23:3f:20:8d:37 -75 b | -75 -67 -71
ac:23:3f:20:8d:36 -71 b | -71 -68
e5:a2:a5:b0:d4:ad -71 b | -71 -78
ac:23:3f:20:8d:2f -71 b | -71 -66
ac:23:3f:20:8d:35 -76 b | -76 -70
ac:23:3f:20:8d:3a -73 b | -73 -76
ac:23:3f:20:8d:33 -70 b | -70 -75
ac:23:3f:20:8d:30 -82 b | -82 -66
ac:23:3f:20:8d:38 -72 b | -72 -69 -69
34:fc:b9:7a:cb:a3 -56 w | -56 -57 -56
40:e3:d6:5d:54:e5 -79 w | -79 -78 -78 -79
40:e3:d6:5d:9c:64 -62 w | -62 -62 -61 -61
40:e3:d6:5d:9c:60 -63 w | -63 -63 -62 -62
74:da:38:67:6e:16 -90 w | -90 -90 -90 -90
34:fc:b9:7a:cb:a4 -58 w | -58 -58 -57 -57
40:e3:d6:5d:c8:85 -45 w | -45 -45 -45 -43
40:e3:d6:5d:54:e1 -79 w | -79 -78 -78 -78
40:e3:d6:5e:d3:44 -71 w | -71 -75 -74 -73
40:e3:d6:5d:9c:61 -62 w | -62 -63 -62 -62
40:e3:d6:5d:ed:44 -77 w | -77 -77 -77 -77
40:e3:d6:5d:54:e0 -79 w | -79 -78 -78 -78
40:e3:d6:5d:c8:84 -46 w | -46 -46 -46 -45
40:e3:d6:5e:d3:40 -70 w | -70 -75 -75 -72
40:e3:d6:5d:ed:40 -81 w | -81 -77 -77 -77
40:e3:d6:5d:ed:42 -77 w | -77 -77 -77 -77
84:d4:7e:73:d7:01 -79 w | -79 -79
84:d4:7e:73:d7:04 -82 w | -82 -78 -78
40:e3:d6:5d:c8:80 -46 w | -46 -47 -46 -45
40:e3:d6:5d:c5:e1 -88 w | -88 -88
40:e3:d6:5d:ed:41 -77 w | -77 -76 -76 -76
40:e3:d6:5d:9c:62 -62 w | -62 -62 -62 -62
34:fc:b9:7a:cb:a1 -56 w | -56 -57 -56
40:e3:d6:5d:c5:e5 -86 w | -86 -86 -88 -88
40:e3:d6:5d:c8:82 -46 w | -46 -46 -46 -45
84:d4:7e:73:d7:00 -81 w | -81 -78 -78
b0:6e:bf:3b:ab:80 -21 w | -21 -22 -22 -23
40:e3:d6:5d:c5:e2 -87 w | -87 -87
40:e3:d6:5d:54:e2 -79 w | -79 -78 -77 -78
40:e3:d6:5e:d3:45 -71 w | -71 -76 -76 -76
40:e3:d6:5d:9c:65 -68 w | -68 -65 -67 -67
40:e3:d6:5d:80:05 -89 w | -89 -89
34:fc:b9:7a:cb:a2 -57 w | -57 -58 -56
3c:52:82:a8:98:ae -82 w | -82 -85 -80 -80
84:d4:7e:73:d7:02 -81 w | -81
34:fc:b9:7a:cb:a0 -57 w | -57 -57 -57
40:e3:d6:5d:54:e4 -79 w | -79 -77 -77 -78
40:e3:d6:5d:c8:81 -46 w | -46 -46 -46 -45
40:e3:d6:5d:c5:e4 -82 w | -82 -87 -87
40:e3:d6:5d:ed:45 -81 w | -81 -81 -81 -81
40:e3:d6:5e:d3:42 -70 w | -70 -75 -75 -72
40:e3:d6:5e:d3:41 -70 w | -70 -75 -75 -73
40:e3:d6:5d:80:04 -87 w | -87 -87

5.80 6.80 59 2018-10-23-20:34:23
f5:93:4c:a6:d9:16 -74 b | -74 -75
cf:20:a9:08:f3:ed -85 b | -85
ac:23:3f:20:9c:ac -69 b | -69 -75
c5:58:c1:21:15:fe -87 b | -87 -98 -98
c1:00:91:00:01:2f -73 b | -73 -73 -79
ac:23:3f:20:8d:34 -77 b | -77 -82 -75
ac:23:3f:20:94:cc -71 b | -71 -80
ac:23:3f:20:8d:39 -71 b | -71 -73
ac:23:3f:20:8d:32 -73 b | -73 -74 -74
ac:23:3f:20:94:cd -81 b | -81 -73
ac:23:3f:20:9c:ae -69 b | -69 -71
ac:23:3f:20:8d:37 -63 b | -63 -68 -68
e5:a2:a5:b0:d4:ad -70 b | -70 -73
ac:23:3f:20:8d:36 -70 b | -70 -72 -72
ac:23:3f:20:8d:35 -69 b | -69
ac:23:3f:20:8d:2f -74 b | -74 -86 -74 -75
ac:23:3f:20:8d:3a -91 b | -91 -93 -76
ac:23:3f:20:8d:33 -75 b | -75
ac:23:3f:20:8d:30 -65 b | -65 -64
ac:23:3f:20:8d:38 -82 b | -82 -73
34:fc:b9:7a:cb:a3 -57 w | -57 -54 -54 -53
40:e3:d6:5d:54:e5 -77 w | -77 -77 -77 -85
40:e3:d6:5d:9c:64 -67 w | -67 -65 -65 -65
40:e3:d6:5d:9c:60 -67 w | -67 -65 -65 -65
34:fc:b9:7a:cb:a4 -53 w | -53 -54 -55 -54
40:e3:d6:5d:c8:85 -45 w | -45 -45 -46 -46
40:e3:d6:5d:54:e1 -77 w | -77 -81 -81 -79
40:e3:d6:5e:d3:44 -72 w | -72 -72 -71 -71
40:e3:d6:5d:9c:61 -67 w | -67 -65 -65 -65
40:e3:d6:5d:ed:44 -79 w | -79 -79 -79
40:e3:d6:5d:54:e0 -77 w | -77 -81 -80 -80
40:e3:d6:5d:c8:84 -41 w | -41 -41 -41 -41
40:e3:d6:5d:80:01 -87 w | -87 -87
40:e3:d6:5e:d3:40 -73 w | -73 -71 -71 -73
40:e3:d6:5d:ed:42 -79 w | -79 -79 -79
40:e3:d6:5d:c8:80 -41 w | -41 -42 -42 -41
40:e3:d6:5d:c5:e1 -87 w | -87 -87 -87 -87
40:e3:d6:5d:9c:62 -67 w | -67 -65 -65 -65
34:fc:b9:7a:cb:a1 -57 w | -57 -55 -54 -53
ac:84:c6:94:df:de -88 w | -88 -88
40:e3:d6:5d:c5:e5 -85 w | -85 -83 -84 -84
40:e3:d6:5d:c8:82 -41 w | -41 -41 -42 -41
b0:6e:bf:3b:ab:80 -34 w | -34 -37 -35 -35
40:e3:d6:5d:c5:e2 -87 w | -87 -87 -87 -87
40:e3:d6:5d:54:e2 -77 w | -77 -77 -77 -78
40:e3:d6:5e:d3:45 -73 w | -73 -72 -73 -72
40:e3:d6:5d:9c:65 -67 w | -67 -65 -65 -65
40:e3:d6:5d:80:05 -86 w | -86 -88 -90
34:fc:b9:7a:cb:a2 -57 w | -57 -55 -54 -53
3c:52:82:a8:98:ae -75 w | -75 -75 -82 -82
34:fc:b9:7a:cb:a0 -57 w | -57 -55 -55 -53
40:e3:d6:5d:54:e4 -77 w | -77 -77 -77 -79
40:e3:d6:5d:c8:81 -41 w | -41 -41 -42 -41
40:e3:d6:5d:80:02 -87 w | -87 -87
40:e3:d6:5d:c5:e4 -86 w | -86 -81 -81 -81
40:e3:d6:5d:ed:45 -79 w | -79 -79 -79 -79
40:e3:d6:5e:d3:42 -73 w | -73 -72 -72 -72
40:e3:d6:5e:d3:41 -73 w | -73 -71 -71 -73
40:e3:d6:5d:80:04 -86 w | -86 -86

4.60 6.80 64 2018-10-23-20:34:35
f5:93:4c:a6:d9:16 -77 b | -77
cf:20:a9:08:f3:ed -82 b | -82 -83 -84
c1:00:91:00:01:2d -75 b | -75 -80
ac:23:3f:20:9c:ac -91 b | -91 -74
c5:58:c1:21:15:fe -85 b | -85
c1:00:91:00:01:2f -71 b | -71 -79
ac:23:3f:20:8d:34 -71 b | -71 -77 -78
ac:23:3f:20:8d:3b -88 b | -88 -80
ac:23:3f:20:94:cc -86 b | -86 -81 -74
ac:23:3f:20:8d:32 -65 b | -65 -77
ac:23:3f:20:8d:39 -77 b | -77 -88
ac:23:3f:20:94:cd -74 b | -74 -86 -89
ac:23:3f:20:9c:ae -70 b | -70 -74
ac:23:3f:20:8d:37 -68 b | -68 -80
ac:23:3f:20:8d:36 -76 b | -76 -77 -77
e5:a2:a5:b0:d4:ad -73 b | -73 -77 -81
ac:23:3f:20:8d:35 -77 b | -77 -71
ac:23:3f:20:8d:2f -67 b | -67
ac:23:3f:20:8d:3a -74 b | -74
ac:23:3f:20:8d:33 -75 b | -75 -71
ac:23:3f:20:8d:30 -67 b | -67 -64
ac:23:3f:20:8d:38 -82 b | -82 -72
34:fc:b9:7a:cb:a3 -56 w | -56 -51 -51 -50
40:e3:d6:5d:9c:64 -65 w | -65 -66 -66
40:e3:d6:5d:54:e5 -83 w | -83 -83 -82 -82
40:e3:d6:5d:9c:60 -66 w | -66 -66 -66
34:fc:b9:7a:cb:a4 -50 w | -50 -51 -51 -50
40:e3:d6:5d:c8:85 -44 w | -44 -38 -43 -38
40:e3:d6:5d:54:e1 -79 w | -79 -79 -81 -80
40:e3:d6:5e:d3:44 -75 w | -75 -69 -69 -69
40:e3:d6:5d:9c:61 -65 w | -65 -66 -66
40:e3:d6:5d:ed:44 -87 w | -87 -87 -87 -87
40:e3:d6:5d:54:e0 -79 w | -79 -79 -81 -80
